"","x"
"1",0.955856686415982
"2",1.98331534109058
"3",1.49884039713981
"4",0.345695100724697
"5",3.7327520305053
"6",1.70086825102878
"7",2.73949097270582
"8",1.99449537686052
"9",0.585925330873579
"10",0.754318949724448
"11",2.10717860410426
"12",0.918445836710644
"13",0.0712647983880066
"14",0.0151027622632682
"15",1.20047096997024
"16",0.256700591184199
"17",0.20837729005143
"18",0.483492655679584
"19",2.66198970551107
"20",1.7178076840097
"21",0.548191569279879
"22",1.77407612643185
"23",0.875507484148157
"24",0.993331872816098
"25",1.41607416271247
"26",1.15335754207791
"27",0.106051193084568
"28",0.603276266716421
"29",0.947731053414655
"30",0.132708982241701
"31",1.03698238353701
"32",0.166126201177569
"33",5.0809932813833
"34",1.34532154440404
"35",0.941338678226625
"36",2.05705985977295
"37",0.76301829978348
"38",0.302651922684163
"39",0.239527506858283
"40",0.262474136147509
"41",0.407184896987007
"42",0.667622458189726
"43",1.37082252181591
"44",0.351649807017527
"45",0.37407752731815
"46",0.954998256596637
"47",0.468030770309269
"48",0.412850125692785
"49",0.0664517432451248
"50",1.24028752553732
"51",1.63198994330997
"52",0.994560652273789
"53",1.7327831340696
"54",0.961369143756938
"55",0.986115026245725
"56",0.425388605799526
"57",0.928922478863458
"58",1.18197747688265
"59",0.716066761831653
"60",0.251904281787574
"61",0.269448146224022
"62",0.91557791359247
"63",1.40893550157859
"64",3.18393789214974
"65",0.119102064985782
"66",0.0667120134457946
"67",0.030901703517884
"68",0.298765182029456
"69",0.554259361699224
"70",2.01356995097342
"71",0.845669398903594
"72",0.242794415913522
"73",1.93970163158121
"74",0.905230546328139
"75",0.0952248901635678
"76",1.71901040242237
"77",1.56588828369024
"78",0.758530222768796
"79",0.170513012446463
"80",0.715110414363717
"81",1.25113812364162
"82",0.242569886613637
"83",0.0638173813273558
"84",0.527373143006116
"85",1.34713209695638
"86",0.429328923672728
"87",0.13682912196964
"88",0.265120884988186
"89",0.911994588396214
"90",0.0221852428704071
"91",2.64855786401565
"92",0.000410231295973063
"93",3.58422905744469
"94",0.168958501686351
"95",1.48544342684785
"96",0.00618051085621119
"97",2.18441047320578
"98",0.137363186571747
"99",1.13961002478679
"100",0.198502255603671
